N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
1,삼성전자,"81,400","2,100",+2.65%,100,"4,859,403","5,969,783",53.15,"22,745,517",19.54,9.99,
2,SK하이닉스,"120,500","4,500",+3.88%,"5,000","877,243","728,002",48.38,"4,144,035",17.21,9.53,
3,NAVER,"427,500","6,000",-1.38%,100,"702,226","164,263",56.60,"760,342",4.35,15.22,
4,카카오,"144,000","2,000",-1.37%,100,"640,023","444,460",31.87,"2,567,034",209.61,2.70,
5,삼성전자우,"74,100","1,000",+1.37%,100,"609,759","822,887",75.69,"1,426,321",17.79,N/A,
6,삼성바이오로직스,"909,000","4,000",-0.44%,"2,500","601,440","66,165",10.35,"55,937",226.68,N/A,
7,LG화학,"851,000","13,000",-1.50%,"5,000","600,741","70,592",47.31,"202,217",37.05,2.93,
8,삼성SDI,"743,000","4,000",-0.54%,"5,000","510,920","68,765",43.48,"165,586",72.78,4.54,
9,현대차,"223,500","3,500",+1.59%,"5,000","477,548","213,668",28.76,"712,412",27.05,2.04,
10,셀트리온,"264,500","1,000",+0.38%,"1,000","364,789","137,917",20.35,"249,678",60.68,16.68,
11,기아,"85,600",900,+1.06%,"5,000","346,991","405,363",33.21,"1,111,260",15.38,5.05,
12,POSCO,"340,500","19,500",-5.42%,"5,000","296,871","87,187",54.37,"849,943",13.30,3.61,
13,삼성물산,"143,000",500,-0.35%,100,"267,249","186,887",15.04,"391,098",17.03,3.81,
14,현대모비스,"276,000","5,000",+1.85%,"5,000","261,629","94,793",35.61,"280,844",14.73,4.66,
15,LG전자,"156,500",0,0.00%,"5,000","256,109","163,648",31.68,"654,592",14.58,13.23,
16,SK이노베이션,"253,000","3,000",-1.17%,"5,000","233,938","92,466",22.86,"304,729",-23.92,-13.58,
17,LG생활건강,"1,451,000","2,000",-0.14%,"5,000","226,620","15,618",45.49,"29,568",31.28,17.92,
18,SK텔레콤,"305,500","3,500",+1.16%,500,"220,144","72,060",46.53,"103,845",14.07,6.44,
19,KB금융,"51,400",500,+0.98%,"5,000","213,725","415,808",67.15,"954,358",5.35,8.53,
20,신한지주,"38,700",100,+0.26%,"5,000","199,924","516,600",60.04,"962,062",5.43,8.20,
21,SK,"272,500","1,000",+0.37%,200,"191,732","70,360",20.08,"87,128",31.73,1.11,
22,엔씨소프트,"811,000","13,000",-1.58%,500,"178,047","21,954",51.56,"85,895",37.66,20.83,
23,한국전력,"25,300",100,-0.39%,"5,000","162,417","641,964",15.26,"1,684,847",7.91,2.91,
24,SK바이오사이언스,"206,000","9,000",+4.57%,500,"157,590","76,500",4.38,"2,768,770",160.06,13.25,
25,삼성생명,"76,500",700,+0.92%,500,"153,000","200,000",13.03,"260,728",7.20,3.53,
26,HMM,"37,600","1,050",-2.72%,"5,000","152,428","405,392",9.40,"6,897,286",35.64,8.93,
27,SK아이이테크놀로지,"211,000","17,500",-7.66%,"1,000","150,438","71,298",7.91,"833,954",N/A,11.00,
28,LG,"95,600",800,+0.84%,"5,000","150,380","157,301",33.21,"233,464",8.77,7.50,
29,삼성전기,"194,000","3,500",+1.84%,"5,000","144,906","74,694",32.20,"512,281",21.35,10.92,
30,삼성에스디에스,"184,000","1,500",-0.81%,500,"142,375","77,378",11.71,"91,144",22.62,6.71,
31,아모레퍼시픽,"221,500","1,000",+0.45%,500,"129,486","58,458",33.48,"185,256",155.00,0.78,
32,하나금융지주,"42,900",100,+0.23%,"5,000","128,804","300,242",67.59,"861,743",4.57,8.96,
33,포스코케미칼,"153,000","1,000",-0.65%,500,"118,519","77,463",7.84,"165,320",183.89,2.96,
34,넷마블,"135,000","2,000",-1.46%,100,"116,037","85,954",22.74,"1,144,132",36.72,6.35,
35,KT&G,"82,700",100,+0.12%,"5,000","113,541","137,292",37.17,"293,948",9.85,13.22,
36,하이브,"290,500","4,000",-1.36%,500,"113,443","39,051",16.17,"203,608",103.34,12.52,
37,S-Oil,"97,200","1,200",-1.22%,"2,500","109,430","112,583",77.82,"393,311",26.41,-13.07,
38,두산중공업,"20,650","1,150",-5.28%,"5,000","105,623","511,490",5.19,"8,812,516",-11.60,-37.20,
39,삼성화재,"218,000","1,500",+0.69%,500,"103,277","47,375",48.30,"99,413",10.86,4.96,
40,대한항공,"29,650",50,+0.17%,"5,000","103,129","347,821",10.73,"1,211,445",12.68,-7.22,
